epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.9382,1.01311,4.04649,0.97078,0.53525,0.70642,0.72708,0.45865,1.34118,2.13403,1.0805,0.000368061,0.000368061,0.000368061
2,145.953,1.04435,2.5867,0.97204,0.78949,0.81592,0.89464,0.72129,0.79171,0.67941,0.89978,0.000731085,0.000731085,0.000731085
3,206.815,1.03834,1.68222,0.97739,0.84233,0.79893,0.9252,0.77567,0.65548,0.60782,0.8653,0.00108678,0.00108678,0.00108678
4,267.705,1.02424,1.16829,0.96922,0.78433,0.80905,0.89221,0.74215,0.67862,0.77735,0.86794,0.001078,0.001078,0.001078
5,328.623,0.99649,0.90929,0.95607,0.89742,0.89581,0.96787,0.83445,0.61141,0.39224,0.85154,0.001067,0.001067,0.001067
6,389.657,0.96771,0.761,0.95063,0.90403,0.90784,0.97702,0.85907,0.56949,0.39635,0.8402,0.00105601,0.00105601,0.00105601
7,450.502,0.94406,0.678,0.94214,0.90747,0.96427,0.98338,0.86928,0.54919,0.33073,0.84149,0.00104501,0.00104501,0.00104501
8,510.997,0.93643,0.61904,0.94033,0.90582,0.88516,0.95335,0.83566,0.57494,0.46847,0.84126,0.00103401,0.00103401,0.00103401
9,571.769,0.92067,0.56901,0.9366,0.92951,0.93161,0.9798,0.85016,0.56453,0.3442,0.84336,0.00102301,0.00102301,0.00102301
10,632.407,0.9013,0.54428,0.92911,0.94167,0.90627,0.97828,0.82025,0.68471,0.37136,0.86,0.00101201,0.00101201,0.00101201
11,693.02,0.8896,0.5336,0.92623,0.92398,0.94551,0.97654,0.85602,0.56719,0.33025,0.83741,0.00100101,0.00100101,0.00100101
12,754.304,0.83624,0.48184,0.90719,0.93487,0.92941,0.97789,0.87657,0.5134,0.31111,0.82844,0.000990012,0.000990012,0.000990012
13,814.756,0.79617,0.46149,0.8984,0.94891,0.96456,0.98917,0.89094,0.49185,0.24799,0.82386,0.000979013,0.000979013,0.000979013
14,875.204,0.78559,0.47675,0.89719,0.93538,0.95591,0.98458,0.88694,0.51029,0.26873,0.82686,0.000968014,0.000968014,0.000968014
15,935.473,0.74407,0.44474,0.89089,0.96348,0.95315,0.98914,0.88341,0.52649,0.24875,0.82542,0.000957015,0.000957015,0.000957015
